"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-29","11.41",,"0.09","0.0","0.0","48","51","45","   60","   50","19.9","23.0","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-30","6.49",,"0.04","0.0","0.0","45","49","42","   50","   30","14.1","18.1","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-03-31","8.05",,"0.02","0.0","0.0","43","45","41","   50","   50","15.0","19.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-01","14.09",,"0.00","0.0","0.0","44","56","37","  320","   30","21.9","29.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-02","23.26",,"0.00","0.0","0.0","49","60","38","  320","  330","36.0","47.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-03","21.03",,"0.01","0.0","0.0","49","52","44","  340","  330","31.1","38.9","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-04","11.41",,"0.00","0.0","0.0","50","58","44","   30","   30","21.0","28.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-05","5.82",,"0.00","0.0","0.0","48","58","42","  140","  140","13.0","17.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-06","8.72",,"0.06","0.0","0.0","53","63","46","  190","  190","18.1","21.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-07","10.51",,"0.00","0.0","0.0","54","63","48","  180","  180","21.0","23.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-08","9.62",,"0.18","0.0","0.0","55","64","45","  320","  340","19.9","23.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-09","14.99",,"0.13","0.0","0.0","50","58","42","  290","  300","36.9","51.0","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-10","23.71",,"0.00","0.0","0.0","45","49","38","  300","  310","38.0","49.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-11","16.11",,"0.00","0.0","0.0","46","55","38","  270","  290","28.0","36.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-12","12.75",,"0.00","0.0","0.0","49","58","34","  180","  170","28.0","35.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-04-13","23.26",,"1.14","0.0","0.0","54","66","51","  170","  170","42.9","53.0","    1",,"    1",,,,,
